X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-48.594038,-27.607441,0,0,46,8.325866,2018/10/05 09:38:31+00,,,,,,,,,,,,,,,,,,,,,
-48.594039,-27.607472,0,0,47,8.314831,2018/10/05 09:38:33+00,,,,,,,,,,,,,,,,,,,,,
-48.59404,-27.607421,0,0,48,8.233268,2018/10/05 09:38:42+00,,,,,,,,,,,,,,,,,,,,,
-48.594073,-27.607298,0,0,49,8.064325,2018/10/05 09:38:57+00,,,,,,,,,,,,,,,,,,,,,
-48.594078,-27.607267,0,0,50,8.02024,2018/10/05 09:38:58+00,,,,,,,,,,,,,,,,,,,,,
-48.594052,-27.607406,0,0,51,8.237864,2018/10/05 09:39:08+00,,,,,,,,,,,,,,,,,,,,,
-48.594035,-27.607388,0,0,52,8.284368,2018/10/05 09:39:16+00,,,,,,,,,,,,,,,,,,,,,
-48.594046,-27.607405,0,0,53,8.257942,2018/10/05 09:39:24+00,,,,,,,,,,,,,,,,,,,,,
-48.594025,-27.607414,0,0,54,8.231898,2018/10/05 09:39:58+00,,,,,,,,,,,,,,,,,,,,,
-48.594045,-27.607407,0,0,55,8.449365,2018/10/05 09:40:34+00,,,,,,,,,,,,,,,,,,,,,
-48.594033,-27.607347,0,0,56,8.301497,2018/10/05 09:41:01+00,,,,,,,,,,,,,,,,,,,,,
-48.594034,-27.607369,0,0,57,8.225249,2018/10/05 09:41:17+00,,,,,,,,,,,,,,,,,,,,,
-48.594026,-27.60743,0,0,58,8.551155,2018/10/05 09:41:24+00,,,,,,,,,,,,,,,,,,,,,
-48.594023,-27.607448,0,0,59,8.57421,2018/10/05 09:41:25+00,,,,,,,,,,,,,,,,,,,,,
-48.594029,-27.607374,0,0,60,8.340123,2018/10/05 09:41:32+00,,,,,,,,,,,,,,,,,,,,,
-48.594006,-27.607373,0,0,61,8.4432,2018/10/05 09:41:40+00,,,,,,,,,,,,,,,,,,,,,
-48.594019,-27.607347,0,0,62,8.375832,2018/10/05 09:41:58+00,,,,,,,,,,,,,,,,,,,,,
-48.594024,-27.607393,0,0,63,8.27688,2018/10/05 09:42:13+00,,,,,,,,,,,,,,,,,,,,,
-48.594034,-27.607324,0,0,64,8.033001,2018/10/05 09:42:20+00,,,,,,,,,,,,,,,,,,,,,
-48.594012,-27.607351,0,0,65,8.45187,2018/10/05 09:42:28+00,,,,,,,,,,,,,,,,,,,,,
-48.594005,-27.607388,0,0,66,8.397287,2018/10/05 09:42:37+00,,,,,,,,,,,,,,,,,,,,,
-48.593991,-27.607141,0,0,67,8.533158,2018/10/05 09:43:01+00,,,,,,,,,,,,,,,,,,,,,
-48.593989,-27.607084,0,0,68,8.680539,2018/10/05 09:43:02+00,,,,,,,,,,,,,,,,,,,,,
-48.594125,-27.60692,0,0,69,8.150248,2018/10/05 09:43:40+00,,,,,,,,,,,,,,,,,,,,,
-48.594137,-27.606967,0,0,70,8.072666,2018/10/05 09:43:41+00,,,,,,,,,,,,,,,,,,,,,
-48.594051,-27.606874,0,0,71,8.702472,2018/10/05 09:43:47+00,,,,,,,,,,,,,,,,,,,,,
-48.594014,-27.606837,0,0,72,8.850585,2018/10/05 09:43:49+00,,,,,,,,,,,,,,,,,,,,,
-48.593981,-27.607843,0,0,73,8.994652,2018/10/05 09:44:11+00,,,,,,,,,,,,,,,,,,,,,
-48.593974,-27.608215,0,0,74,8.998339,2018/10/05 09:44:24+00,,,,,,,,,,,,,,,,,,,,,
-48.593668,-27.608777,0,0,75,11.274136,2018/10/05 09:44:32+00,,,,,,,,,,,,,,,,,,,,,
-48.593627,-27.609082,0,0,76,11.866515,2018/10/05 09:44:46+00,,,,,,,,,,,,,,,,,,,,,
-48.593605,-27.609142,0,0,77,12.921317,2018/10/05 09:44:54+00,,,,,,,,,,,,,,,,,,,,,
-48.593568,-27.609553,0,0,78,17.108067,2018/10/05 09:45:07+00,,,,,,,,,,,,,,,,,,,,,
-48.59355,-27.609763,0,0,79,17.93771,2018/10/05 09:45:09+00,,,,,,,,,,,,,,,,,,,,,
-48.593538,-27.609901,0,0,80,18.409042,2018/10/05 09:45:10+00,,,,,,,,,,,,,,,,,,,,,
-48.593534,-27.609961,0,0,81,18.649317,2018/10/05 09:45:12+00,,,,,,,,,,,,,,,,,,,,,
-48.593449,-27.610336,0,0,82,19.613625,2018/10/05 09:45:19+00,,,,,,,,,,,,,,,,,,,,,
-48.593426,-27.610363,0,0,83,19.89057,2018/10/05 09:45:21+00,,,,,,,,,,,,,,,,,,,,,
-48.593241,-27.610716,0,0,84,22.230753,2018/10/05 09:45:31+00,,,,,,,,,,,,,,,,,,,,,
-48.593081,-27.611938,0,0,85,23.630569,2018/10/05 09:45:50+00,,,,,,,,,,,,,,,,,,,,,
-48.593084,-27.611991,0,0,86,23.80229,2018/10/05 09:45:50+00,,,,,,,,,,,,,,,,,,,,,
-48.593071,-27.612114,0,0,87,23.977694,2018/10/05 09:45:53+00,,,,,,,,,,,,,,,,,,,,,
-48.593065,-27.612172,0,0,88,23.993319,2018/10/05 09:45:54+00,,,,,,,,,,,,,,,,,,,,,
-48.592945,-27.613203,0,0,89,23.995943,2018/10/05 09:46:17+00,,,,,,,,,,,,,,,,,,,,,
-48.592986,-27.614295,0,0,90,21.395746,2018/10/05 09:46:57+00,,,,,,,,,,,,,,,,,,,,,
-48.592988,-27.614329,0,0,91,20.751196,2018/10/05 09:46:58+00,,,,,,,,,,,,,,,,,,,,,
-48.59299,-27.614347,0,0,92,20.435823,2018/10/05 09:47:00+00,,,,,,,,,,,,,,,,,,,,,
-48.592992,-27.614456,0,0,93,20.119692,2018/10/05 09:47:11+00,,,,,,,,,,,,,,,,,,,,,
-48.591906,-27.615337,0,0,94,14.240164,2018/10/05 09:47:11+00,,,,,,,,,,,,,,,,,,,,,
-48.591885,-27.615354,0,0,95,11.171547,2018/10/05 09:47:14+00,,,,,,,,,,,,,,,,,,,,,
-48.591298,-27.615808,0,0,96,7.350615,2018/10/05 09:47:19+00,,,,,,,,,,,,,,,,,,,,,
-48.589904,-27.61666,0,0,97,5.344419,2018/10/05 09:47:42+00,,,,,,,,,,,,,,,,,,,,,
-48.589959,-27.6166,0,0,98,5.175363,2018/10/05 09:47:43+00,,,,,,,,,,,,,,,,,,,,,
-48.589963,-27.616578,0,0,99,4.593174,2018/10/05 09:47:45+00,,,,,,,,,,,,,,,,,,,,,
-48.589989,-27.616558,0,0,100,4.746005,2018/10/05 09:47:46+00,,,,,,,,,,,,,,,,,,,,,
-48.590006,-27.616544,0,0,101,4.322067,2018/10/05 09:47:47+00,,,,,,,,,,,,,,,,,,,,,
-48.59005,-27.616521,0,0,102,4.458897,2018/10/05 09:47:50+00,,,,,,,,,,,,,,,,,,,,,
-48.589791,-27.616542,0,0,103,5.438506,2018/10/05 09:47:56+00,,,,,,,,,,,,,,,,,,,,,
-48.589709,-27.616526,0,0,104,5.709701,2018/10/05 09:47:57+00,,,,,,,,,,,,,,,,,,,,,
-48.589102,-27.616533,0,0,105,7.322407,2018/10/05 09:48:05+00,,,,,,,,,,,,,,,,,,,,,
-48.587997,-27.616154,0,0,106,12.298113,2018/10/05 09:48:19+00,,,,,,,,,,,,,,,,,,,,,
-48.587948,-27.616111,0,0,107,13.063578,2018/10/05 09:48:19+00,,,,,,,,,,,,,,,,,,,,,
-48.58791,-27.616085,0,0,108,13.409919,2018/10/05 09:48:20+00,,,,,,,,,,,,,,,,,,,,,
-48.587869,-27.616065,0,0,109,13.637895,2018/10/05 09:48:22+00,,,,,,,,,,,,,,,,,,,,,
-48.587892,-27.616069,0,0,110,13.817862,2018/10/05 09:48:23+00,,,,,,,,,,,,,,,,,,,,,
-48.587113,-27.615802,0,0,111,13.900053,2018/10/05 09:48:37+00,,,,,,,,,,,,,,,,,,,,,
-48.586455,-27.615576,0,0,112,13.900053,2018/10/05 09:49:27+00,,,,,,,,,,,,,,,,,,,,,
-48.585488,-27.613636,0,0,113,13.912485,2018/10/05 09:49:32+00,,,,,,,,,,,,,,,,,,,,,
-48.585463,-27.613586,0,0,114,13.92485,2018/10/05 09:49:33+00,,,,,,,,,,,,,,,,,,,,,
-48.585451,-27.613561,0,0,115,13.937155,2018/10/05 09:49:34+00,,,,,,,,,,,,,,,,,,,,,
-48.585359,-27.613379,0,0,116,13.937155,2018/10/05 09:49:52+00,,,,,,,,,,,,,,,,,,,,,
-48.585348,-27.613355,0,0,117,13.937155,2018/10/05 09:50:14+00,,,,,,,,,,,,,,,,,,,,,
-48.584233,-27.613091,0,0,118,5.839079,2018/10/05 09:50:15+00,,,,,,,,,,,,,,,,,,,,,
-48.584186,-27.61308,0,0,119,5.418018,2018/10/05 09:50:16+00,,,,,,,,,,,,,,,,,,,,,
-48.584163,-27.613075,0,0,120,5.250103,2018/10/05 09:50:16+00,,,,,,,,,,,,,,,,,,,,,
-48.584142,-27.61307,0,0,121,5.063167,2018/10/05 09:50:19+00,,,,,,,,,,,,,,,,,,,,,
-48.583993,-27.612988,0,0,122,5.045606,2018/10/05 09:50:38+00,,,,,,,,,,,,,,,,,,,,,
-48.583896,-27.612924,0,0,123,5.045606,2018/10/05 09:50:38+00,,,,,,,,,,,,,,,,,,,,,
-48.583805,-27.612865,0,0,124,5.045606,2018/10/05 09:50:39+00,,,,,,,,,,,,,,,,,,,,,
-48.583731,-27.612817,0,0,125,5.045606,2018/10/05 09:50:39+00,,,,,,,,,,,,,,,,,,,,,
-48.583666,-27.612774,0,0,126,5.045606,2018/10/05 09:50:39+00,,,,,,,,,,,,,,,,,,,,,
-48.582396,-27.612208,0,0,127,5.478633,2018/10/05 09:50:42+00,,,,,,,,,,,,,,,,,,,,,
