X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpx10_speed,ogt10_accuracy,gpx10_course
-48.5027055,-27.5581782,0,0,36,11,2018/10/08 19:46:37+00,,,,,,,,,,,,,,,,,,,,,,20.1499996185303,19,16.5
-48.5005089,-27.5542892,0,0,37,-4,2018/10/08 19:47:01+00,,,,,,,,,,,,,,,,,,,,,,17.7700004577637,26,26.3999996185303
-48.499771,-27.553223,0,0,38,-12,2018/10/08 19:47:19+00,,,,,,,,,,,,,,,,,,,,,,0.239999994635582,22,
-48.4984813,-27.5509177,0,0,39,0,2018/10/08 19:48:27+00,,,,,,,,,,,,,,,,,,,,,,,29,
-48.4988174,-27.5490418,0,0,40,-13,2018/10/08 19:48:45+00,,,,,,,,,,,,,,,,,,,,,,11.4299993515015,19,338.200012207031
-48.4993008,-27.5481759,0,0,41,10,2018/10/08 19:49:11+00,,,,,,,,,,,,,,,,,,,,,,5.27999973297119,22,324.700012207031
-48.5008342,-27.5463965,0,0,42,3,2018/10/08 19:49:34+00,,,,,,,,,,,,,,,,,,,,,,14.6700000762939,23,325.799987792969
-48.5046956,-27.5418572,0,0,43,8,2018/10/08 19:50:39+00,,,,,,,,,,,,,,,,,,,,,,15.7799997329712,46,321.399993896484
-48.5069334,-27.5390227,0,0,44,2,2018/10/08 19:51:07+00,,,,,,,,,,,,,,,,,,,,,,,21,
-48.5072721,-27.5387914,0,0,45,13,2018/10/08 19:51:26+00,,,,,,,,,,,,,,,,,,,,,,3.50999999046326,21,328.200012207031
-48.5085756,-27.5373286,0,0,46,25,2018/10/08 19:51:49+00,,,,,,,,,,,,,,,,,,,,,,13.7799997329712,23,321.200012207031
-48.5103892,-27.5351289,0,0,47,12,2018/10/08 19:52:07+00,,,,,,,,,,,,,,,,,,,,,,18.7799987792969,22,322.799987792969
-48.5122874,-27.5329502,0,0,48,19,2018/10/08 19:52:24+00,,,,,,,,,,,,,,,,,,,,,,14.6099996566772,18,328.399993896484
-48.5132315475494,-27.5311581697315,0,0,49,21,2018/10/08 19:52:40+00,,,,,,,,,,,,,,,,,,,,,,13.960000038147,13,345.5
-48.5136575158685,-27.5290608080104,0,0,50,34,2018/10/08 19:52:55+00,,,,,,,,,,,,,,,,,,,,,,16.9499988555908,12,351.799987792969
-48.5134260077029,-27.5265052495524,0,0,51,22,2018/10/08 19:53:10+00,,,,,,,,,,,,,,,,,,,,,,20.2099990844727,9,4.30000019073486
-48.5141964722425,-27.5238773552701,0,0,52,11,2018/10/08 19:53:25+00,,,,,,,,,,,,,,,,,,,,,,20.4699993133545,6,339.799987792969
-48.5145749151707,-27.5211736885831,0,0,53,6,2018/10/08 19:53:40+00,,,,,,,,,,,,,,,,,,,,,,19.4799995422363,5,7.09999990463257
-48.5140041075647,-27.5187195511535,0,0,54,6,2018/10/08 19:53:55+00,,,,,,,,,,,,,,,,,,,,,,18.9599990844727,5,12.1000003814697
-48.5134348925203,-27.5162161281332,0,0,55,9,2018/10/08 19:54:10+00,,,,,,,,,,,,,,,,,,,,,,18.6199989318848,4,11.3999996185303
-48.5131231695414,-27.5137125793844,0,0,56,10,2018/10/08 19:54:25+00,,,,,,,,,,,,,,,,,,,,,,18.9499988555908,5,2.5
-48.5130473133177,-27.5111319171265,0,0,57,9,2018/10/08 19:54:40+00,,,,,,,,,,,,,,,,,,,,,,18.7099990844727,6,1.5
-48.513172455132,-27.5087062362581,0,0,58,15,2018/10/08 19:54:55+00,,,,,,,,,,,,,,,,,,,,,,14.8999996185303,5,350.899993896484
-48.5132453776896,-27.5082207145169,0,0,59,18,2018/10/08 19:55:10+00,,,,,,,,,,,,,,,,,,,,,,,6,
-48.5134193859994,-27.5076412735507,0,0,60,21,2018/10/08 19:55:25+00,,,,,,,,,,,,,,,,,,,,,,8.27999973297119,5,348.5
-48.513714261353,-27.5061591016129,0,0,61,25,2018/10/08 19:55:40+00,,,,,,,,,,,,,,,,,,,,,,13.4699993133545,4,350.700012207031
