X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-48.649398,-27.605806,0,0,52,7.064162,2018/10/08 09:23:03+00,,,,,,,,,,,,,,,,,,,,,
-48.649476,-27.605794,0,0,53,6.923018,2018/10/08 09:23:04+00,,,,,,,,,,,,,,,,,,,,,
-48.649513,-27.605789,0,0,54,7.057234,2018/10/08 09:23:05+00,,,,,,,,,,,,,,,,,,,,,
-48.649535,-27.605785,0,0,55,7.036513,2018/10/08 09:23:07+00,,,,,,,,,,,,,,,,,,,,,
-48.649501,-27.60579,0,0,56,5.720106,2018/10/08 09:23:25+00,,,,,,,,,,,,,,,,,,,,,
-48.649526,-27.605787,0,0,57,6.876082,2018/10/08 09:23:35+00,,,,,,,,,,,,,,,,,,,,,
-48.649546,-27.605784,0,0,58,7.008131,2018/10/08 09:23:36+00,,,,,,,,,,,,,,,,,,,,,
-48.649568,-27.60578,0,0,59,6.910689,2018/10/08 09:23:37+00,,,,,,,,,,,,,,,,,,,,,
-48.649585,-27.605767,0,0,60,6.989943,2018/10/08 09:23:38+00,,,,,,,,,,,,,,,,,,,,,
-48.649579,-27.605651,0,0,61,6.081618,2018/10/08 09:23:39+00,,,,,,,,,,,,,,,,,,,,,
-48.64957,-27.605597,0,0,62,6.27046,2018/10/08 09:23:40+00,,,,,,,,,,,,,,,,,,,,,
-48.649562,-27.605547,0,0,63,6.246626,2018/10/08 09:23:41+00,,,,,,,,,,,,,,,,,,,,,
-48.649548,-27.605467,0,0,64,8.015822,2018/10/08 09:23:42+00,,,,,,,,,,,,,,,,,,,,,
-48.649539,-27.605411,0,0,65,7.912886,2018/10/08 09:23:43+00,,,,,,,,,,,,,,,,,,,,,
-48.649526,-27.605338,0,0,66,6.437025,2018/10/08 09:23:44+00,,,,,,,,,,,,,,,,,,,,,
-48.649514,-27.605265,0,0,67,6.564039,2018/10/08 09:23:45+00,,,,,,,,,,,,,,,,,,,,,
-48.649511,-27.605245,0,0,68,6.279463,2018/10/08 09:23:46+00,,,,,,,,,,,,,,,,,,,,,
-48.649487,-27.605128,0,0,69,6.407271,2018/10/08 09:23:47+00,,,,,,,,,,,,,,,,,,,,,
-48.64947,-27.605045,0,0,70,6.899855,2018/10/08 09:23:48+00,,,,,,,,,,,,,,,,,,,,,
-48.649453,-27.604958,0,0,71,6.76457,2018/10/08 09:23:49+00,,,,,,,,,,,,,,,,,,,,,
-48.649434,-27.604865,0,0,72,6.510817,2018/10/08 09:23:50+00,,,,,,,,,,,,,,,,,,,,,
-48.649417,-27.604781,0,0,73,6.61653,2018/10/08 09:23:51+00,,,,,,,,,,,,,,,,,,,,,
-48.649402,-27.604705,0,0,74,6.202284,2018/10/08 09:23:52+00,,,,,,,,,,,,,,,,,,,,,
-48.649384,-27.604593,0,0,75,6.11064,2018/10/08 09:23:54+00,,,,,,,,,,,,,,,,,,,,,
-48.649376,-27.604544,0,0,76,6.001936,2018/10/08 09:23:55+00,,,,,,,,,,,,,,,,,,,,,
-48.64938,-27.604569,0,0,77,5.83882,2018/10/08 09:23:56+00,,,,,,,,,,,,,,,,,,,,,
-48.649375,-27.604536,0,0,78,6.426039,2018/10/08 09:24:08+00,,,,,,,,,,,,,,,,,,,,,
-48.649372,-27.604516,0,0,79,7.149641,2018/10/08 09:24:12+00,,,,,,,,,,,,,,,,,,,,,
-48.649365,-27.604474,0,0,80,6.974531,2018/10/08 09:24:14+00,,,,,,,,,,,,,,,,,,,,,
-48.64936,-27.604442,0,0,81,6.843275,2018/10/08 09:24:15+00,,,,,,,,,,,,,,,,,,,,,
-48.649353,-27.604401,0,0,82,7.890425,2018/10/08 09:24:16+00,,,,,,,,,,,,,,,,,,,,,
-48.649342,-27.60433,0,0,83,8.071364,2018/10/08 09:24:17+00,,,,,,,,,,,,,,,,,,,,,
-48.649335,-27.604283,0,0,84,7.905867,2018/10/08 09:24:18+00,,,,,,,,,,,,,,,,,,,,,
